mentity,kind,stereotype,id,,,
ios::UILabel::highlighted_text_color,MMethod,accessor,prop_accessor,,,
github::CommitComment::path,MMethod,accessor,prop_accessor,,,
github::CommitComment::path=,MMethod,mutator,prop_mutator,,,
github::CommitComment::commit_id,MMethod,accessor,prop_accessor,,,
github::CommitComment::commit_id=,MMethod,mutator,prop_mutator,,,
github::CommitComment::position,MMethod,accessor,prop_accessor,,,
github::CommitComment::position=,MMethod,mutator,prop_mutator,,,
github::CommitComment::line,MMethod,accessor,prop_accessor,,,
github::CommitComment::line=,MMethod,mutator,prop_mutator,,,
more_collections::HashMap2::[],MMethod,accessor,prop_accessor,,,
more_collections::HashMap2::[]=,MMethod,mutator,prop_mutator,,,
more_collections::HashMap2::has,MMethod,accessor,prop_accessor,,,
more_collections::HashMap2::remove_at,MMethod,mutator,prop_mutator,,,
more_collections::HashMap2::clear,MMethod,mutator,prop_mutator,,,
android::AndroidMotionEvent::down_time,MMethod,accessor,prop_accessor,,,
android::AndroidMotionEvent::touch_to_edge,MMethod,accessor,prop_accessor,,,
android::AndroidMotionEvent::touch_right_edge,MMethod,accessor,prop_accessor,,,
android::AndroidMotionEvent::touch_bottom_edge,MMethod,accessor,prop_accessor,,,
android::AndroidMotionEvent::touch_left_edge,MMethod,accessor,prop_accessor,,,
android::AndroidMotionEvent::pointers,MMethod,accessor,prop_accessor,,,
android::AndroidMotionEvent::pointers=,MMethod,mutator,prop_mutator,,,
android::AndroidMotionEvent::acting_pointer,MMethod,accessor,prop_accessor,,,
android::AndroidMotionEvent::acting_pointer=,MMethod,mutator,prop_mutator,,,
gtk::GtkResponseType::ok,MMethod,creational,prop_creational,,,
gtk::GtkResponseType::apply,MMethod,creational,prop_creational,,,
gtk::GtkResponseType::no,MMethod,creational,prop_creational,,,
gtk::GtkResponseType::yes,MMethod,creational,prop_creational,,,
gtk::GtkResponseType::cancel,MMethod,creational,prop_creational,,,
gtk::GtkResponseType::none,MMethod,creational,prop_creational,,,
gtk::GtkResponseType::delete_event,MMethod,creational,prop_creational,,,
gtk::GtkResponseType::close,MMethod,creational,prop_creational,,,
gtk::GtkResponseType::reject,MMethod,creational,prop_creational,,,
gtk::GtkResponseType::help,MMethod,creational,prop_creational,,,
serialization::SerializerCache::has_object,MMethod,accessor,prop_accessor,,,
serialization::SerializerCache::new_id_for,MMethod,creational,prop_creational,,,
serialization::SerializerCache::next_available_id,MMethod,accessor,prop_accessor,,,
serialization::SerializerCache::id_for,MMethod,accessor,prop_accessor,,,
serialization::SerializerCache::sent,MMethod,accessor,prop_accessor,,,
serialization::SerializerCache::sent=,MMethod,mutator,prop_mutator,,,
core::Writer::coder,MMethod,accessor,prop_accessor,,,
core::Writer::coder=,MMethod,mutator,prop_mutator,,,
core::Writer::write_bytes,MMethod,collaborational,prop_collaborational,,,
binary::binary::Writer::write_bool,MMethod,collaborational,prop_collaborational,,,
binary::binary::Writer::write_string,MMethod,collaborational,prop_collaborational,,,
binary::binary::Writer::write_int64,MMethod,collaborational,prop_collaborational,,,
binary::binary::Writer::write_double,MMethod,collaborational,prop_collaborational,,,
binary::binary::Writer::write_float,MMethod,collaborational,prop_collaborational,,,
binary::binary::Writer::write_bits,MMethod,collaborational,prop_collaborational,,,
binary::binary::Writer::write_block,MMethod,collaborational,prop_collaborational,,,
app::Control::parent,MMethod,accessor,prop_accessor,,,
linux::ui::Control::native,MMethod,collaborational,prop_collaborational,,,
ios::ui::Control::native,MMethod,collaborational,prop_collaborational,,,
android::ui::Control::native,MMethod,collaborational,prop_collaborational,,,
app::Control::parent=,MMethod,mutator,prop_mutator,,,
ios::UITextField::text,MMethod,accessor,prop_accessor,,,
ios::UITextField::text=,MMethod,mutator,prop_mutator,,,
ios::UITextField::secure_text_entry=,MMethod,mutator,prop_mutator,,,
ios::UITextField::placeholder=,MMethod,mutator,prop_mutator,,,
sendmail::Mail::header,MMethod,accessor,prop_accessor,,,
sendmail::Mail::header=,MMethod,mutator,prop_mutator,,,
sendmail::Mail::to,MMethod,accessor,prop_accessor,,,
sendmail::Mail::to=,MMethod,mutator,prop_mutator,,,
sendmail::Mail::from,MMethod,accessor,prop_accessor,,,
sendmail::Mail::bcc,MMethod,accessor,prop_accessor,,,
sendmail::Mail::bcc=,MMethod,mutator,prop_mutator,,,
sendmail::Mail::subject,MMethod,accessor,prop_accessor,,,
sendmail::Mail::content,MMethod,accessor,prop_accessor,,,
sendmail::Mail::encrypt_with_base64,MMethod,accessor,prop_accessor,,,
core::Numeric::+,MMethod,collaborational,prop_collaborational,,,
core::Numeric::/,MMethod,collaborational,prop_collaborational,,,
core::numeric::Numeric::add,MMethod,collaborational,prop_collaborational,,,
core::numeric::Numeric::sub,MMethod,collaborational,prop_collaborational,,,
